fit function;variable;condition;left bin edge;right bin edge;count of bins;bootstrap size;amplitude from fit result;exponent from fit result;covariance c_11;covariance c_12;covariance c_22
P_of_S;total dissipation;-;10.0;500.0;489;100;(6.45+/-0.28)e+03;2.119+/-0.010;77949.0335107639;2.693042508145994;9.527764181985948e-05
P_of_T;lifetime;-;10.0;200.0;189;100;0.9999999999999999+/-nan;1.0+/-nan;;;
P_of_L;spatial linear size;-;10.0;60.0;49;100;0.9999999999999999+/-nan;1.0+/-nan;;;
E_of_S_T;total dissipation;lifetime;10.0;400.0;389;100;0.9999999999999999+/-nan;1.0+/-nan;;;
E_of_T_S;lifetime;total dissipation;10.0;400.0;389;100;1.506+/-0.008;1.569+/-0.004;7.017543524766932e-05;2.8946886702569263e-05;1.3335159359168216e-05
E_of_S_L;total dissipation;spatial linear size;10.0;20.0;9;100;0.70+/-0.07;2.09+/-0.04;0.0049151134706283;-0.0026514080613885;0.0014446610881176
E_of_L_S;spatial linear size;total dissipation;10.0;400.0;389;100;1.063+/-0.008;1.921+/-0.007;5.900615584182097e-05;4.838745729947197e-05;4.234738085349619e-05
E_of_T_L;lifetime;spatial linear size;10.0;20.0;9;100;1.21+/-0.07;1.303+/-0.023;0.0053290659570778;-0.0016648331697692;0.0005248554552333
E_of_L_T;spatial linear size;lifetime;10.0;100.0;89;100;0.915+/-0.008;1.306+/-0.004;6.400258916734852e-05;3.468597749566344e-05;1.970367715985041e-05
