;fit function;exponent;uncertainty
0;P_of_S;2.094666666666667;0.005668222222222223
1;P_of_T;2.1390000000000002;0.010379333333333334
2;P_of_L;2.127666666666667;0.020372222222222222
3;E_of_S_T;1.5078333333333334;0.0036496288888888872
4;E_of_T_S;1.5647666666666666;0.003334015555555556
5;E_of_S_L;2.0140000000000002;0.01887800000000001
6;E_of_L_S;1.8716666666666668;0.005754888888888888
7;E_of_T_L;1.2706666666666664;0.010374888888888887
8;E_of_L_T;1.2729;0.0032406666666666673
9;gamma1_gamma3_1;1.917;0.05545869333717359
10;gamma1_gamma3_2;1.9918333333333333;0.014681696844105637
